iter	Passed	Remaining
0	134	134321
1	135	67415
2	135	45105
3	136	33939
4	137	27264
5	137	22795
6	138	19603
7	138	17210
8	139	15348
9	140	13896
10	141	12700
11	141	11685
12	142	10822
13	143	10089
14	143	9447
15	144	8894
16	145	8402
17	145	7959
18	146	7564
19	147	7208
20	147	6885
21	148	6592
22	148	6326
23	149	6080
24	150	5853
25	150	5645
26	151	5451
27	151	5271
28	152	5104
29	153	4948
30	153	4802
31	154	4681
32	155	4556
33	156	4436
34	156	4322
35	157	4213
36	157	4110
37	158	4013
38	159	3922
39	159	3834
40	160	3750
41	160	3671
42	161	3596
43	162	3523
44	162	3454
45	163	3387
46	163	3323
47	164	3262
48	165	3204
49	165	3147
50	166	3093
51	166	3041
52	167	2990
53	167	2942
54	168	2898
55	169	2855
56	170	2814
57	170	2773
58	171	2732
59	171	2692
60	172	2655
61	173	2617
62	173	2581
63	174	2547
64	174	2513
65	175	2480
66	175	2448
67	176	2417
68	176	2387
69	177	2357
70	178	2329
71	178	2301
72	179	2274
73	179	2247
74	180	2222
75	180	2197
76	181	2173
77	181	2148
78	182	2125
79	182	2102
80	183	2080
81	183	2059
82	184	2035
83	184	2016
84	185	1996
85	185	1976
86	186	1957
87	187	1938
88	187	1919
89	188	1901
90	188	1883
91	189	1865
92	189	1848
93	190	1832
94	190	1815
95	191	1799
96	191	1783
97	192	1767
98	192	1751
99	193	1737
100	193	1722
101	193	1707
102	194	1693
103	194	1679
104	195	1665
105	195	1652
106	196	1639
107	196	1626
108	197	1613
109	197	1600
110	198	1588
111	198	1576
112	199	1564
113	199	1553
114	200	1542
115	200	1530
116	201	1518
117	201	1507
118	202	1496
119	202	1485
120	203	1475
121	203	1464
122	203	1453
123	204	1443
124	204	1433
125	205	1423
126	205	1413
127	206	1403
128	206	1394
129	206	1385
130	207	1375
131	207	1366
132	208	1357
133	208	1348
134	209	1340
135	209	1331
136	210	1323
137	210	1314
138	210	1306
139	211	1298
140	211	1290
141	212	1281
142	212	1273
143	212	1265
144	213	1258
145	213	1251
146	214	1244
147	214	1237
148	215	1230
149	215	1223
150	216	1216
151	216	1209
152	217	1202
153	217	1195
154	218	1188
155	218	1182
156	218	1175
157	219	1169
158	219	1162
159	220	1156
160	220	1149
161	221	1143
162	221	1137
163	221	1131
164	222	1125
165	222	1119
166	223	1113
167	223	1107
168	224	1102
169	224	1096
170	225	1091
171	225	1085
172	226	1080
173	226	1075
174	226	1069
175	227	1064
176	227	1059
177	228	1054
178	228	1049
179	229	1045
180	229	1040
181	230	1035
182	230	1030
183	231	1026
184	231	1021
185	232	1017
186	232	1012
187	233	1007
188	233	1002
189	234	998
190	234	993
191	235	989
192	235	984
193	235	980
194	236	975
195	236	971
196	237	966
197	237	962
198	238	958
199	238	954
200	238	949
201	239	945
202	239	941
203	240	937
204	240	933
205	241	929
206	241	925
207	242	921
208	242	918
209	243	914
210	243	910
211	244	907
212	244	903
213	245	900
214	245	896
215	246	893
216	246	889
217	246	885
218	247	882
219	247	878
220	248	875
221	248	871
222	249	868
223	249	864
224	250	861
225	250	858
226	250	854
227	251	851
228	251	847
229	252	844
230	252	841
231	253	838
232	253	834
233	254	831
234	254	828
235	254	825
236	255	822
237	255	818
238	256	815
239	256	812
240	257	809
241	257	806
242	258	804
243	258	801
244	259	798
245	259	795
246	260	793
247	260	790
248	261	787
249	261	784
250	261	781
251	262	778
252	262	776
253	263	773
254	263	770
255	264	767
256	264	765
257	265	762
258	265	759
259	265	756
260	266	754
261	266	751
262	267	749
263	267	746
264	268	743
265	268	741
266	269	738
267	269	735
268	269	733
269	270	730
270	270	728
271	271	725
272	271	723
273	272	720
274	272	718
275	272	716
276	273	713
277	274	711
278	274	709
279	275	707
280	275	704
281	275	702
282	276	700
283	276	697
284	277	695
285	277	693
286	278	690
287	278	688
288	279	686
289	279	684
290	279	681
291	280	679
292	280	677
293	281	675
294	281	673
295	282	670
296	282	668
297	282	666
298	283	664
299	283	662
300	284	660
301	284	658
302	285	656
303	285	654
304	286	652
305	286	650
306	287	647
307	287	645
308	287	643
309	288	642
310	289	640
311	289	638
312	290	636
313	290	634
314	290	632
315	291	630
316	291	628
317	292	626
318	292	624
319	293	622
320	293	620
321	293	619
322	294	617
323	294	615
324	295	613
325	295	611
326	296	609
327	296	607
328	297	605
329	297	603
330	297	602
331	298	600
332	298	598
333	299	596
334	299	595
335	300	593
336	300	591
337	301	589
338	301	587
339	301	586
340	302	584
341	302	582
342	303	581
343	303	579
344	304	577
345	304	576
346	305	574
347	305	572
348	306	571
349	306	569
350	307	567
351	307	566
352	307	564
353	308	562
354	308	561
355	309	559
356	309	557
357	310	556
358	310	554
359	311	552
360	311	551
361	311	549
362	312	548
363	312	546
364	313	544
365	313	543
366	314	542
367	314	540
368	315	539
369	315	537
370	316	536
371	316	534
372	317	533
373	317	531
374	318	530
375	318	528
376	319	527
377	319	525
378	320	524
379	320	522
380	320	521
381	321	519
382	321	518
383	322	517
384	322	515
385	323	514
386	323	512
387	324	511
388	324	509
389	324	508
390	325	506
391	325	505
392	326	503
393	326	502
394	327	501
395	327	499
396	328	498
397	328	496
398	328	495
399	329	494
400	329	492
401	330	491
402	330	489
403	331	488
404	331	487
405	332	485
406	332	484
407	332	482
408	333	482
409	334	480
410	334	479
411	335	478
412	335	477
413	336	475
414	336	474
415	337	473
416	337	472
417	338	470
418	338	469
419	339	468
420	339	466
421	339	465
422	340	464
423	340	462
424	341	461
425	341	460
426	342	459
427	342	458
428	343	457
429	344	456
430	344	454
431	344	453
432	345	452
433	345	450
434	346	449
435	346	448
436	347	447
437	347	445
438	348	444
439	348	443
440	349	442
441	349	441
442	350	440
443	350	439
444	351	437
445	351	436
446	351	435
447	352	434
448	352	432
449	353	431
450	353	430
451	354	429
452	354	428
453	354	426
454	355	425
455	355	424
456	356	423
457	356	422
458	357	421
459	357	419
460	358	418
461	358	417
462	358	416
